Date,EUR,INR,ISK,JPY,KRW,NOK
01-01-2014,0.72754,61.803001,115.269997,105.300003,1054.800049,6.06308
01-02-2014,0.72639,61.84,115.129997,105.323997,1050.75,6.06453
01-03-2014,0.73171,62.060001,115.349998,104.833,1049.599976,6.16883
01-06-2014,0.73551,62.23,115.849998,104.912003,1053.800049,6.14827
01-07-2014,0.73357,62.310001,115.839996,104.209999,1065.400024,6.16626
01-08-2014,0.73441,62.080002,116.5,104.711998,1068.5,6.16623
01-09-2014,0.73681,62.119999,116.82,104.844002,1064.699951,6.2038
01-10-2014,0.73491,61.779999,116.760002,104.830002,1062,6.17539
01-13-2014,0.73143,61.439999,116.580002,103.948997,1060.400024,6.14312
01-14-2014,0.73153,61.470001,115.110001,103.115997,1058.5,6.1152
01-15-2014,0.73161,61.470001,115.370003,104.179001,1058.300049,6.08455
01-16-2014,0.73533,61.540001,115.379997,104.570999,1063,6.1341
01-17-2014,0.73432,61.419998,115.449997,104.294998,1062.400024,6.17951
01-20-2014,0.73923,61.549999,115.839996,104.237999,1041.599976,6.15807
01-21-2014,0.73806,61.618,115.690002,104.224998,1062.5,6.1785
01-22-2014,0.73751,61.970001,115.669998,104.223,1064.199951,6.1686
01-23-2014,0.73843,61.869999,115.029999,104.635002,1066.5,6.16339
01-24-2014,0.73051,62.130001,114.580002,103.370003,1072.699951,6.08846
01-27-2014,0.73057,62.73,114.529999,102.050003,1078.400024,6.127
01-28-2014,0.73128,63.380001,114.629997,102.661003,1082.5,6.14517
01-29-2014,0.73233,62.380001,114.739998,103.231003,1076.900024,6.12762
01-30-2014,0.73214,62.467999,115.25,102.300003,1069.099976,6.1686
01-31-2014,0.73753,62.310001,115.580002,102.758003,1079.300049,6.2396
02-03-2014,0.74139,62.5,115.540001,102.192001,1080.199951,6.27344
02-04-2014,0.73937,62.869999,115.419998,101.141998,1083.599976,6.2838
02-05-2014,0.73987,62.130001,115.540001,101.689003,1083,6.285
02-06-2014,0.73882,62.23,115.43,101.466003,1076.900024,6.2291
02-07-2014,0.73572,62.23,115.080002,102.039001,1077.699951,6.2061
02-10-2014,0.73425,62.09,114.599998,102.524002,1075.300049,6.17394
02-11-2014,0.73281,62.448002,114.120003,102.133003,1071.900024,6.12647
02-12-2014,0.73319,62.029999,114.029999,102.519997,1069.900024,6.12412
02-13-2014,0.73583,61.68,113.339996,102.469002,1061.400024,6.117
02-14-2014,0.73106,62.150002,113.18,102.188004,1065.300049,6.10226
02-17-2014,0.72993,61.830002,113.010002,101.564003,1058.75,6.0736
02-18-2014,0.72969,61.790001,113,102.061996,1059.400024,6.07959
02-19-2014,0.72664,62.209999,112.830002,102.332001,1064.400024,6.03409
02-20-2014,0.72831,62.259998,113.419998,102.310997,1065.300049,6.0746
02-21-2014,0.7288,62.130001,113.330002,102.311996,1071,6.0949
02-24-2014,0.72791,62.009998,112.900002,102.513,1072.099976,6.0721
02-25-2014,0.72801,62.068001,113.120003,102.482002,1073.300049,6.03138
02-26-2014,0.72748,61.978001,112.989998,102.150002,1073.099976,6.03305
02-27-2014,0.73089,62.150002,113.5,102.299004,1065.099976,6.05027
02-28-2014,0.72953,62.02,112.230003,102.110001,1068.699951,6.03729
03-03-2014,0.72585,61.82,112.150002,101.305,1067.300049,6.00891
03-04-2014,0.72796,62.169998,112.519997,101.412003,1069,6.04599
03-05-2014,0.72774,61.599998,112.620003,102.178001,1070.099976,6.0091
03-06-2014,0.72811,61.748001,112.489998,102.366997,1070.199951,5.99544
03-07-2014,0.72134,60.799999,111.57,103.031998,1063.599976,5.9719
03-10-2014,0.72053,61.23,111.760002,103.190002,1064.199951,5.9819
03-11-2014,0.72052,60.810001,112.230003,103.236,1066.099976,5.95244
03-12-2014,0.7216,61.040001,112.529999,102.839996,1064.780029,5.9521
03-13-2014,0.71919,60.77,111.910004,102.782997,1067.030029,5.94659
03-14-2014,0.72122,61.459999,112.309998,101.779999,1067.900024,5.9642
03-17-2014,0.71875,60.98,112.220001,101.330002,1071.930054,5.9699
03-18-2014,0.71805,61.040001,112.650002,101.859001,1066.900024,5.95164
03-19-2014,0.71783,61.108002,112.779999,101.440002,1068.400024,5.95181
03-20-2014,0.72363,60.950001,113.730003,102.468002,1069.599976,6.0383
03-21-2014,0.72558,61.333,113.540001,102.406998,1076,6.05963
03-24-2014,0.72487,61.02,113.470001,102.240997,1079.380005,6.049
03-25-2014,0.7226,60.59,113.400002,102.207001,1076.800049,6.019
03-26-2014,0.72364,60.220001,113.209999,102.285004,1078.300049,6.02792
03-27-2014,0.72558,60.16,112.790001,101.903,1076.430054,6.04484
03-28-2014,0.72773,60.237999,112.769997,102.147003,1068.180054,5.99973
03-31-2014,0.72716,59.84,112.43,102.889,1066.550049,6.0005
04-01-2014,0.72595,59.990002,112.470001,103.213997,1062.5,5.98273
04-02-2014,0.72491,59.779999,112.339996,103.633003,1057.599976,5.97941
04-03-2014,0.72631,59.897999,112.550003,103.866997,1058.439941,5.97116
04-04-2014,0.72866,60.389999,112.949997,103.896004,1056.699951,6.0015
04-07-2014,0.72971,59.669998,112.849998,103.32,1051.449951,5.9912
04-08-2014,0.72764,60.119999,112.290001,103.069,1054.339966,5.9891
04-09-2014,0.72499,60.09,112,101.955002,1046.030029,5.973
04-10-2014,0.72176,59.959999,111.68,102.107002,1035.109985,5.9325
04-11-2014,0.72013,60.299999,111.339996,101.379997,1038.23999,5.9254
04-14-2014,0.72222,60.34,111.879997,101.442001,1038.939941,5.94316
04-15-2014,0.72374,60.34,112.07,101.903999,1040.910034,5.9617
